id,name,record,notable_outcomes
1,Frank Edgar,Former UFC Lightweight Champion,Most significant wins include BJ Penn and Gray Maynard.
2,Conor McGregor,Former UFC Featherweight and Lightweight Champion,First fighter in UFC history to hold titles in two weight classes simultaneously.
3,Ronda Rousey,Former UFC Women's Bantamweight Champion,First female fighter inducted into the UFC Hall of Fame.
4,Georges St-Pierre,Former UFC Welterweight and Middleweight Champion,Considered one of the greatest mixed martial artists of all time.
5,Dana White,UFC President,Instrumental in the growth and popularity of MMA globally.
6,Jon Jones,Former UFC Light Heavyweight Champion,Regarded as one of the greatest fighters in MMA history.
7,Daniel Cormier,Former UFC Light Heavyweight and Heavyweight Champion,One of the few fighters to hold titles in two weight classes simultaneously.
8,Stipe Miocic,Former UFC Heavyweight Champion,Most successful heavyweight title defenses in UFC history.
9,Nate Diaz,Known for his toughness and submission skills,Notable for his fights against Conor McGregor and Jorge Masvidal.
10,Henry Cejudo,Former UFC Flyweight and Bantamweight Champion,First fighter in UFC history to hold titles in two weight classes simultaneously and an Olympic gold medalist.